App,Logo URL
Instagram,https://upload.wikimedia.org/wikipedia/commons/a/a5/Instagram_icon.png
Twitter,https://upload.wikimedia.org/wikipedia/commons/6/6f/Logo_of_Twitter.svg
Snapchat,https://upload.wikimedia.org/wikipedia/en/c/c4/Snapchat_logo.svg
TikTok,https://upload.wikimedia.org/wikipedia/en/a/a9/TikTok_logo.svg
Facebook,https://upload.wikimedia.org/wikipedia/commons/0/05/Facebook_Logo_%282019%29.png
LinkedIn,https://upload.wikimedia.org/wikipedia/commons/c/ca/LinkedIn_logo_initials.png
Pinterest,https://upload.wikimedia.org/wikipedia/commons/0/08/Pinterest-logo.png
